"Name","Platform","Genre","Publisher","Developer","Rating","Global_Sales","Year_of_Release","Critic_Score","Critic_Count","User_Score","User_Count"
"Sniper: Art of Victory","PC","Shooter","City Interactive","City Interactive","M","0.49","2008","36","7","3.6","16"
"Shaman King: Power of Spirit","PS2","Adventure","Konami Digital Entertainmen","WinkySoft","T","0.13","2004","54","9","8.2","17"
"Spider-Man: Friend or Foe","X360","Action","Activision","Next Level Games","E10+","0.29","2007","60","51","6.3","26"
"SSX On Tour","PSP","Sports","Electronic Arts","EA Montreal","E","0.23","2005","79","23","8.1","44"
"Lollipop Chainsaw","PS3","Action","Warner Bros. Interactive En","Grasshopper Manufact","M","0.66","2012","67","37","7.1","199"
"Batman: Dark Tomorrow","XB","Action","Kemco","HotGen","T","0.11","2003","25","13","3.6","18"
"NASCAR Thunder 2004","XB","Racing","Electronic Arts","EA Games","E","0.23","2003","85","14","9.1","15"
"NHL 07","XB","Sports","Electronic Arts","EA Sports","E10+","0.03","2006","75","14","7.7","6"
"Gauntlet: Seven Sorrows","PS2","Role-Playing","Midway Games","Midway","T","0.4","2005","59","38","5.7","20"
"Rave Master","GC","Fighting","Konami Digital Entertainmen","Konami","T","0.05","2002","60","15","6.3","4"
"Carnival Games: Mini Golf","Wii","Sports","Take-Two Interactive","Cat Daddy Games","E","1.56","2008","38","10","5.7","7"
"Harvest Moon: Tree of Tranquility","Wii","Simulation","Rising Star Games","Marvelous Entertainm","E","0.82","2007","65","18","8.2","28"
"Fight Night Round 3","X360","Fighting","Electronic Arts","EA Chicago","T","1.47","2006","86","67","8.8","264"
"Sleeping Dogs","PC","Action","Square Enix","United Front Games","M","0.12","2012","81","23","8.2","1209"
"Prince of Persia: The Two Thrones","XB","Action","Ubisoft","Ubisoft","M","0.58","2005","85","46","8.4","28"
"FIFA World Cup Germany 2006","PSP","Sports","Electronic Arts","EA Canada","E","0.11","2006","72","15","7.3","8"
"Lost in Blue: Shipwrecked","Wii","Adventure","Konami Digital Entertainmen","Hudson Soft","E10+","0.08","2008","54","11","6","6"
"Tom Clancy's Splinter Cell: Pandora T","GC","Action","Ubisoft","Ubisoft","T","0.08","2004","78","25","8","11"
"Operation Flashpoint: Dragon Rising","PC","Shooter","Codemasters","Codemasters","M","0.05","2009","76","29","4.9","539"
"Naval Assault: The Killing Tide","X360","Simulation","505 Games","Artech Studios","T","0.17","2010","40","11","4.2","5"
"Ben 10 Alien Force: Vilgax Attacks","Wii","Action","D3Publisher","Papaya Studios","E10+","0.44","2009","65","5","4","6"
"Kinetica","PS2","Racing","Sony Computer Entertainment","SCE Santa Monica","T","0.32","2001","77","21","8.3","21"
"Naruto Shippuden: Kizuna Drive","PSP","Action","Namco Bandai Games","Premium Agency","T","0.13","2010","57","22","5","6"
"Tony Hawk's Pro Skater 3","PS2","Sports","Activision","Neversoft Entertainm","T","4.41","2001","97","34","7.5","298"
"James Bond 007: Everything or Nothing","XB","Shooter","Electronic Arts","EA Redwood Shores","T","0.64","2004","83","51","7.4","27"
"Wave Race: Blue Storm","GC","Racing","Nintendo","Nintendo","E","0.6","2001","80","21","8.3","29"
"Turok: Evolution","XB","Shooter","Acclaim Entertainment","Acclaim","M","0.55","2002","68","25","6.7","9"
"GT Legends","PC","Racing","Atari","SimBin","E","0.02","2005","84","21","8.6","44"
"FIFA Soccer 08","PC","Sports","Electronic Arts","EA Canada","E","0.02","2007","77","7","6.1","50"
"Ikaruga","GC","Shooter","Atari","Treasure","E","0.09","2003","85","52","8.5","42"
"Marvel Trading Card Game","DS","Misc","Konami Digital Entertainmen","1st Playable Product","T","0.12","2007","61","17","4.9","7"
"Moon","DS","Adventure","Mastiff","Renegade Kid","T","0.05","2009","71","45","7.4","21"
"Jak X: Combat Racing","PS2","Racing","Sony Computer Entertainment","Naughty Dog","T","0.55","2005","76","46","7.7","63"
"Star Wars: The Force Unleashed","PS3","Action","LucasArts","LucasArts","T","2.21","2008","71","47","6.6","233"
"Cabela's North American Adventures","X360","Sports","Activision","FUN Labs","T","0.11","2010","51","5","9","4"
"Tony Hawk's Underground","XB","Sports","Activision","Neversoft Entertainm","T","1.27","2003","85","33","9.1","26"
"Lost Horizon","PC","Adventure","Deep Silver","Animation Arts","T","0.11","2010","77","24","7.9","27"
"Psi-Ops: The Mindgate Conspiracy","XB","Shooter","Midway Games","Midway","M","0.17","2004","84","55","7.9","18"
"Magicka","PC","Role-Playing","Paradox Interactive","Arrowhead Game Studi","T","0.03","2011","74","44","7.6","602"
"Marvel Nemesis: Rise of the Imperfect","PS2","Fighting","Electronic Arts","EA Canada, Nihilisti","T","0.77","2005","53","30","6.3","46"
"Pac-Man World Rally","PS2","Racing","Namco Bandai Games","Smart Bomb Interacti","E","0.02","2006","54","20","7.4","5"
"Disaster Report","PS2","Action","Agetec","Irem","T","0.21","2002","66","28","8","7"
"MLB 2005","PS2","Sports","Sony Computer Entertainment","989 Sports","E","0.9","2004","78","36","7.6","9"
"NHL 07","PS2","Sports","Electronic Arts","EA Sports","E10+","0.51","2006","76","11","4.6","51"
"Dante's Inferno","PSP","Action","Electronic Arts","Artificial Mind and","M","0.19","2010","70","14","8.1","46"
"Dragon Ball Z: The Legacy of Goku II","GBA","Role-Playing","Atari","Webfoot Technologies","E","1.09","2003","75","21","8.9","39"
"Far Cry 2","X360","Action","Ubisoft","Ubisoft Montreal","M","1.59","2008","85","75","6.7","288"
"Baja: Edge of Control","X360","Racing","THQ","2XL Games","E","0.2","2008","65","35","7.1","18"
"The Operative: No One Lives Forever","PS2","Shooter","Electronic Arts","Monolith Productions","T","0.14","2002","67","23","8","16"
"Okami","PS2","Action","Capcom","Clover Studio","T","0.63","2006","93","69","9.3","327"
"The Sims 2: Castaway","Wii","Simulation","Electronic Arts","Maxis","T","1.2","2007","73","19","8.2","10"
"Sengoku Basara: Samurai Heroes","Wii","Action","Capcom","Capcom","T","0.29","2010","65","18","8.8","13"
"Major League Baseball 2K11","X360","Sports","Take-Two Interactive","Visual Concepts","E","0.45","2011","69","27","6.8","24"
"The Lord of the Rings: The Return of","PS2","Action","Electronic Arts","EA Games","T","3.28","2003","85","31","8.7","105"
"The Sims 3","PS3","Simulation","Electronic Arts","The Sims Studio","T","1.94","2010","78","39","6.4","55"
"Alone in the Dark","PC","Adventure","Atari","Eden Studios","M","0.01","2008","55","19","5.7","148"
"The Lord of the Rings: The Return of","GBA","Action","Electronic Arts","Griptonite Games","T","0.56","2003","77","13","8.2","11"
"FIFA Soccer 09","PS3","Sports","Electronic Arts","EA Canada","E","2.58","2008","87","42","7.5","108"
"MVP Baseball 2005","GC","Sports","Electronic Arts","EA Sports","E","0.33","2005","88","20","8.7","16"
"NCAA Football 2002","PS2","Sports","Electronic Arts","EA Sports","E","1.57","2001","90","18","8.7","24"
"The Legendary Starfy","DS","Platform","Nintendo","TOSE","E","0.85","2008","75","25","8.4","26"
"Turok: Evolution","PS2","Shooter","Acclaim Entertainment","Acclaim","M","1.31","2002","61","20","7.3","27"
"Catwoman","XB","Action","Electronic Arts","EA Games","T","0.06","2004","45","33","4.6","5"
"NFL Blitz Pro","PS2","Sports","Midway Games","Midway","E","0.23","2003","73","20","8.5","14"
"Kameo: Elements of Power","X360","Action","Microsoft Game Studios","Rare Ltd.","T","0.34","2005","79","76","8.1","107"
"F1 2011","PC","Racing","Codemasters","Codemasters","E","0.19","2011","83","10","7.2","83"
"Kirby's Return to Dreamland","Wii","Platform","Nintendo","HAL Labs","E10+","1.65","2011","77","49","8.5","156"
"The Conduit","Wii","Shooter","Sega","High Voltage Softwar","T","0.57","2009","69","79","8.2","258"
"Top Spin 2","X360","Sports","Take-Two Interactive","Pam Development","E","0.17","2006","75","52","6.8","25"
"Tekken Tag Tournament 2","PS3","Fighting","Namco Bandai Games","Namco Bandai Games","T","0.85","2012","82","50","8.2","193"
"Mytran Wars","PSP","Strategy","Deep Silver","Stormregion","T","0.12","2009","68","16","8.8","4"
"Halo: Combat Evolved","XB","Shooter","Microsoft Game Studios","Bungie Software","M","6.43","2001","97","68","8.6","1283"
"Sid Meier's Civilization Revolution","PS3","Strategy","Take-Two Interactive","Firaxis Games","E10+","0.78","2008","85","39","7.7","87"
"Dragon Age: Origins","PS3","Role-Playing","Electronic Arts","BioWare","M","1.67","2009","87","41","7.9","597"
"Monster 4X4: World Circuit","Wii","Racing","Ubisoft","Ubisoft","E","0.88","2006","51","11","7.8","17"
"PowerUp Heroes","X360","Fighting","Ubisoft","Ubisoft","E10+","0.3","2011","61","13","7.5","10"
"Group S Challenge","XB","Racing","Capcom","Capcom","E","0.02","2003","57","17","6","5"
"Namco Museum","GBA","Misc","Namco Bandai Games","Mass Media","E","4.24","2001","79","10","7.3","6"
"Escape From Monkey Island","PS2","Adventure","LucasArts","LucasArts","T","0.1","2001","84","21","8.2","11"
"RLH: Run Like Hell","XB","Shooter","Avalon Interactive","Digital Mayhem","M","0.04","2003","55","22","8","5"
"Shining Force EXA","PS2","Role-Playing","Sega","Neverland","E10+","0.1","2007","64","24","7.3","17"
"WarioWare: Smooth Moves","Wii","Puzzle","Nintendo","Intelligent Systems","E10+","2.89","2006","83","61","7.4","179"
"The Sims 3","PC","Simulation","Electronic Arts","The Sims Studio","T","8.01","2009","86","75","7.6","886"
"Darksiders","PS3","Action","THQ","Vigil Games","M","0.02","2010","82","73","7.9","319"
"TRON: Evolution","PC","Action","Disney Interactive Studios","Propaganda Games","T","0.07","2010","57","11","6","25"
"DiRT Showdown","PS3","Racing","Codemasters","Codemasters","E10+","0.18","2012","75","27","6.3","43"
"MotorStorm: Pacific Rift","PS3","Racing","Sony Computer Entertainment","Evolution Studios","T","1.35","2008","82","63","8","318"
"Dance Dance Revolution Ultramix","XB","Simulation","Konami Digital Entertainmen","Konami Computer Ente","E","0.54","2003","82","24","8.8","10"
"FIFA Soccer 2005","PS2","Sports","Electronic Arts","EA Canada","E","3.7","2004","81","27","7.6","56"
"Jack Keane","PC","Adventure","Kalypso Media","Legacy Interactive","T","0.03","2008","69","25","7","21"
"Space Invaders Extreme","PSP","Shooter","Square Enix","Taito Corporation","E","0.09","2008","84","29","6.8","13"
"Left 4 Dead 2","X360","Shooter","Electronic Arts","Valve Software","M","3.97","2009","89","76","8.6","681"
"King Arthur","PS2","Action","Konami Digital Entertainmen","Krome Studios","T","0.13","2004","59","22","8","10"
"Tecmo Bowl: Kickoff","DS","Sports","Tecmo Koei","Polygon Magic","E","0.11","2008","66","21","7.3","8"
"FIFA World Cup Germany 2006","PS2","Sports","Electronic Arts","EA Canada","E","0.57","2006","77","28","8.1","33"
"Red Faction: Guerrilla","PC","Shooter","THQ","Volition Inc., React","M","0.03","2009","82","29","7.5","308"
"Mario vs. Donkey Kong","GBA","Puzzle","Nintendo","Nintendo","E","1.17","2004","81","43","8","31"
"Spyro: Attack of the Rhynocs","GBA","Platform","Universal Interactive","Digital Eclipse","E","0.3","2003","72","13","7.5","15"
"Capcom Fighting Evolution","PS2","Fighting","Capcom","Capcom","T","0.2","2004","57","33","4.8","5"
"MotoGP 07","PS2","Racing","Capcom","Milestone","E","0.1","2007","62","26","9.1","7"
"Star Wars: Battlefront II","PS2","Shooter","LucasArts","Pandemic Studios","T","3.59","2005","84","30","9","268"
"Brothers In Arms: Earned in Blood","PS2","Shooter","Ubisoft","Gearbox Software","M","0.46","2005","71","20","7.9","23"
"Need for Speed Underground 2","PC","Racing","Electronic Arts","EA Canada","T","0.07","2004","82","31","8.5","407"
"Dead to Rights: Retribution","PS3","Shooter","Namco Bandai Games","Volatile Games","M","0.28","2010","60","44","5.9","27"
"Professor Layton and the Diabolical B","DS","Puzzle","Nintendo","Level 5","E10+","3.94","2007","84","65","8.8","72"
"Fatal Inertia","X360","Racing","Tecmo Koei","Koei","E10+","0.13","2007","61","30","4.2","19"
"Pariah","XB","Action","Hip Interactive","Digital Extremes","M","0.1","2005","70","52","7.4","19"
"World Championship Poker 2: Featuring","PSP","Misc","505 Games","Crave","T","0.14","2005","65","17","2.8","17"
"The Adventures of Tintin: The Game","PS3","Action","Ubisoft","Ubisoft Montpellier","E10+","0.26","2011","59","27","5.7","13"
"Dynasty Warriors: Gundam 3","X360","Action","Tecmo Koei","Koei Tecmo Games","T","0.18","2010","65","27","7.8","20"
"Far Cry 2","PS3","Action","Ubisoft","Ubisoft Montreal","M","1.38","2008","85","49","6.4","241"
"Tony Hawk's Pro Skater 3","GBA","Sports","Activision","Vicarious Visions","E","0.52","2002","90","20","8","6"
"NHL 2003","PS2","Sports","Electronic Arts","EA Sports","E","0.93","2002","79","20","6.8","18"
"Sunny Garcia Surfing","PS2","Sports","Ubisoft","Krome Studios","E","0.03","2001","61","11","7.9","7"
"Neopets Petpet Adventures: The Wand o","PSP","Adventure","Sony Computer Entertainment","SCEA","E","0.12","2006","66","21","7.7","6"
"Final Fantasy XIII","PS3","Role-Playing","Square Enix","Square Enix","T","5.33","2009","83","83","7.3","2483"
"Spider-Man: Edge of Time","Wii","Action","Activision","Beenox","T","0.09","2011","62","9","5.2","6"
"Generation of Chaos","PSP","Role-Playing","Midas Interactive Entertain","Idea Factory","T","0.06","2005","60","29","7.7","18"
"RoadKill","XB","Action","Midway Games","Terminal Reality","M","0.08","2003","68","23","7.4","5"
"Serious Sam II","PC","Shooter","Take-Two Interactive","Croteam","M","0.01","2005","74","31","7","152"
"NBA Live 06","XB","Sports","Electronic Arts","EA Canada","E","0.64","2005","79","30","6.4","15"
"Conan","X360","Action","THQ","Nihilistic","M","0.19","2007","69","49","7.3","67"
"Peter Jackson's King Kong: The Offici","DS","Action","Ubisoft","Ubisoft Casablanca","T","0.13","2005","28","5","3.2","32"
"Grand Theft Auto: Liberty City Storie","PS2","Action","Take-Two Interactive","Rockstar Leeds","M","3.54","2006","78","49","7.8","112"
"Mega Man Zero","GBA","Platform","Capcom","Inti","E","0.55","2002","82","17","8.9","31"
"NBA 2K12","PC","Sports","Take-Two Interactive","Visual Concepts","E","0.16","2011","86","5","7.1","66"
"Kingdoms of Amalur: Reckoning","PC","Role-Playing","Electronic Arts","Big Huge Games","M","0.3","2012","81","25","6.6","1097"
"Buffy the Vampire Slayer: Chaos Bleed","XB","Action","Vivendi Games","Eurocom Entertainmen","T","0.12","2003","73","26","8.4","14"
"Street Fighter X Tekken","PS3","Fighting","Capcom","Capcom","T","0.83","2012","84","51","5.3","191"
"Star Wars The Clone Wars: Jedi Allian","DS","Action","LucasArts","LucasArts","E10+","0.78","2008","68","10","7.8","32"
"Harry Potter and the Deathly Hallows","X360","Action","Electronic Arts","EA Bright Light","T","0.45","2010","38","42","5","46"
"ATV Offroad Fury 3","PS2","Racing","SouthPeak Games","Climax Group","E","1.2","2004","78","37","8.4","16"
"Star Trek: Conquest","Wii","Strategy","Bethesda Softworks","4J Studios","E","0.12","2007","49","18","4.9","11"
"Hasbro Family Game Night","Wii","Puzzle","Electronic Arts","EA Bright Light","E","1.43","2008","63","12","7.5","11"
"Mafia","PC","Action","Take-Two Interactive","Illusion Softworks","M","0.04","2002","88","27","9.1","863"
"Your Shape: Fitness Evolved","X360","Sports","Ubisoft","Ubisoft Montreal","E","1.32","2010","73","32","7.5","25"
"Knight's Apprentice: Memorick's Adven","XB","Action","Microids","Microids","T","0.02","2004","53","11","4.5","8"
"Operation Flashpoint: Red River","PC","Shooter","Codemasters","Codemasters","M","0.07","2011","67","25","4.9","103"
"Stranglehold","X360","Shooter","Midway Games","Midway","M","0.82","2007","77","59","7.6","91"
"Leisure Suit Larry: Magna Cum Laude","XB","Adventure","Vivendi Games","High Voltage Softwar","M","0.17","2004","62","49","6.4","13"
"Children of Mana","DS","Role-Playing","Nintendo","Nex Entertainment","E10+","0.48","2006","65","34","6","21"
"Cars","PS2","Racing","THQ","Rainbow Studios","E","1.21","2006","71","30","8.4","12"
"Kirby: Nightmare in Dream Land","GBA","Platform","Nintendo","HAL Labs","E","2.27","2002","81","24","8.9","54"
"Ridge Racer DS","DS","Racing","Namco Bandai Games","Namco","E","0.15","2004","63","35","6.7","7"
"Sonic Generations","X360","Platform","Sega","Sega, Sonic Team","E","1.38","2011","77","49","8.3","340"
"MLB 09: The Show","PS2","Sports","Sony Computer Entertainment","SCEA San Diego Studi","E","0.33","2009","79","7","7.5","12"
"The King of Fighters XIII","X360","Fighting","Rising Star Games","SNK Playmore","T","0.33","2011","79","31","8.2","51"
"Robotech: Battlecry","PS2","Shooter","TDK Mediactive","Vicious Cycle","T","0.61","2002","72","20","8.5","8"
"Tony Hawk's Proving Ground","DS","Sports","Activision","Vicarious Visions","E10+","0.23","2007","79","21","6.7","6"
"World of Outlaws: Sprint Cars 2002","PS2","Racing","Ignition Entertainment","Ratbag","E","0.48","2002","80","10","9.1","10"
"Star Wars: The Force Unleashed","X360","Action","LucasArts","LucasArts","T","2.77","2008","73","74","6.7","389"
"Harry Potter and the Deathly Hallows","PS3","Action","Electronic Arts","EA Bright Light","T","0.32","2011","43","21","5.7","27"
"Kung Fu Panda","X360","Action","Activision","Luxoflux, Inc.","E10+","3.04","2008","75","42","7.4","32"
"Digimon Rumble Arena 2","PS2","Fighting","Atari","Black Ship Games","T","0.09","2004","63","9","7.3","23"
"Burnout","PS2","Racing","Acclaim Entertainment","Criterion Games","E","0.74","2001","79","25","7.7","33"
"Monster Lab","Wii","Role-Playing","Eidos Interactive","Backbone Entertainme","E10+","0.31","2008","73","11","8.4","14"
"Zoo Keeper","DS","Puzzle","Ignition Entertainment","Buddiez, Inc.","E","0.16","2004","74","40","7.5","13"
"Need for Speed Underground 2","XB","Racing","Electronic Arts","EA Canada","E","2.28","2004","77","35","8.7","27"
"Conflict: Desert Storm","PS2","Shooter","Gotham Games","Pivotal Games","T","1.57","2002","55","10","8.6","45"
"Sacred 2: Fallen Angel","X360","Role-Playing","Deep Silver","Ascaron Entertainmen","M","0.54","2009","71","56","7.3","64"
"NBA Street V3","XB","Sports","Electronic Arts","EA Canada","E","0.32","2005","89","41","8.9","10"
"Halo 4","X360","Shooter","Microsoft Game Studios","343 Industries","M","9.71","2012","87","87","7","3260"
"Wings of War","XB","Simulation","Take-Two Interactive","Silver Wish Games","T","0.06","2004","62","29","5","5"
"Samurai Warriors 2: Empires","PS2","Action","Tecmo Koei","Omega Force","T","0.19","2006","55","20","7.3","7"
"Terminator Salvation","X360","Shooter","Warner Bros. Interactive En","GRIN","T","0.35","2009","48","50","5","53"
"Fallout 3","X360","Role-Playing","Bethesda Softworks","Bethesda Game Studio","M","4.93","2008","93","84","8.5","1655"
"Metroid Prime","GC","Shooter","Nintendo","Retro Studios","T","2.82","2002","97","70","9.3","747"
"Avatar: The Last Airbender","DS","Adventure","THQ","TOSE","E","0.33","2006","64","9","6.4","7"
"LEGO Batman 2: DC Super Heroes","X360","Action","Warner Bros. Interactive En","TT Games","E10+","1.66","2012","79","59","7.2","114"
"Gangs of London","PSP","Adventure","Sony Computer Entertainment","SCEE London Studio","M","0.95","2006","52","47","6.7","18"
"Green Lantern: Rise of the Manhunters","PS3","Action","Warner Bros. Interactive En","Double Helix Games","T","0.17","2011","61","12","6.7","17"
"Twin Strike: Operation Thunder","Wii","Shooter","Zoo Games","Naps Team","E10+","0.04","2008","50","7","8.3","6"
"Final Fantasy XIII-2","PS3","Role-Playing","Square Enix","Square Enix","T","2.63","2011","79","53","6.6","707"
"Pac-Man World 3","PS2","Platform","Namco Bandai Games","Blitz Games","E","0.21","2005","63","22","5.2","13"
"Ridge Racer 7","PS3","Racing","Namco Bandai Games","Namco Bandai Games","E","1.36","2006","78","45","7.1","52"
"Red Faction: Guerrilla","X360","Shooter","THQ","Volition Inc.","M","0.87","2009","85","84","8.1","237"
"Tom Clancy's Splinter Cell","GC","Action","Ubisoft","Ubisoft Shanghai","T","0.23","2003","89","19","8.7","25"
"Ford Racing Off Road","Wii","Racing","Xplosiv","Razorworks","E","0.47","2008","37","5","6.3","4"
"Aliens versus Predator: Extinction","XB","Strategy","Electronic Arts","Zono Inc.","T","0.08","2003","64","19","7.7","21"
"Hot Shots Golf: Out of Bounds","PS3","Sports","Sony Computer Entertainment","Clap Hanz","E","1.14","2007","81","66","8.8","32"
"Dance Dance Revolution Ultramix 2","XB","Simulation","Konami Digital Entertainmen","Konami Computer Ente","E","0.42","2004","78","16","7.1","7"
"Need for Speed: Nitro","Wii","Racing","Electronic Arts","EA Montreal","E10+","0.83","2009","69","41","7.4","38"
"The Matrix: Path of Neo","PS2","Action","Atari","Shiny Entertainment","T","0.49","2005","69","42","7.9","42"
"Crash Tag Team Racing","XB","Racing","Vivendi Games","Radical Entertainmen","E10+","0.13","2005","69","17","7.8","11"
"Pro Evolution Soccer 2013","PS3","Sports","Konami Digital Entertainmen","Konami","E","1.53","2012","82","37","6.7","146"
"Warhammer 40,000: Space Marine","PS3","Shooter","THQ","Relic","M","0.44","2011","70","46","7.4","162"
"Assassin's Creed: Altair's Chronicles","DS","Platform","Ubisoft","Gameloft","T","0.05","2008","58","30","6.3","30"
"NBA Live 2004","GC","Sports","Electronic Arts","EA Sports","E","0.27","2003","84","17","9","4"
"Cloudy With a Chance of Meatballs","X360","Platform","Ubisoft","Ubisoft Shanghai","E","0.09","2009","62","12","6.5","11"
"NASCAR 2011: The Game","PS3","Racing","Activision","Eutechnyx","E","0.27","2011","62","16","3.7","15"
"Call of Juarez","X360","Shooter","Ubisoft","Techland","M","0.18","2007","71","37","6.9","46"
"Batman: Arkham City","PC","Action","Warner Bros. Interactive En","Rocksteady Studios","T","0.53","2011","91","27","8.6","1847"
"Custom Robo","GC","Role-Playing","Nintendo","Noise Inc.","T","0.37","2004","65","31","8.1","27"
"Divinity II: Ego Draconis","X360","Role-Playing","DTP Entertainment","Larian Studios","M","0.24","2009","62","37","6.4","36"
"Dance Dance Revolution: Hottest Party","Wii","Simulation","Konami Digital Entertainmen","Konami","E10+","1.58","2008","69","8","6.8","6"
"Virtua Tennis 3","X360","Sports","Sega","Sumo Digital","E","0.04","2007","80","34","6.8","26"
"Borderlands 2","PC","Shooter","Take-Two Interactive","Gearbox Software","M","0.93","2012","89","38","8.2","2482"
"X-Men: Destiny","Wii","Action","Activision","Silicon Knights","T","0.1","2011","36","10","4.5","15"
"Gardening Mama","DS","Puzzle","505 Games","Taito Corporation","E","1.35","2009","60","17","9.3","4"
"Army of Two","X360","Shooter","Electronic Arts","EA Montreal","M","1.64","2008","72","76","7.6","233"
"WWII Aces","Wii","Simulation","Destineer","Arcade Moon","T","0.27","2008","41","7","5.4","18"
"ATV Offroad Fury 2","PS2","Racing","THQ","Rainbow Studios","E","2.18","2002","82","26","8.9","28"
"Sniper Elite V2","X360","Shooter","505 Games","Rebellion","M","0.84","2012","67","37","6.8","131"
"Spectral Souls: Resurrection of the E","PSP","Role-Playing","Idea Factory","Neverland, Idea Fact","T","0.03","2005","47","27","8.2","12"
"RalliSport Challenge","XB","Racing","Microsoft Game Studios","Digital Illusions","E","0.57","2002","87","32","8.3","19"
"Tak and the Guardians of Gross","Wii","Action","THQ","THQ","E10+","0.16","2008","63","5","8","5"
"Beaterator","PSP","Misc","Take-Two Interactive","Rockstar Leeds","E","0.09","2009","80","44","7.8","12"
"Digimon World 4","PS2","Role-Playing","Atari","Bandai","E","0.15","2005","48","7","6.9","37"
"Age of Conan: Rise of the Godslayer","PC","Role-Playing","Funcom","Funcom","M","0.03","2010","83","14","8.4","52"
"Star Wars: Battlefront","PS2","Shooter","LucasArts","Pandemic Studios","T","3.61","2004","82","36","8.7","142"
"Naruto: Ultimate Ninja 3","PS2","Fighting","Atari","CyberConnect2","T","0.44","2005","75","24","8.7","33"
"How to Train Your Dragon","Wii","Action","Activision","Etranges Libellules","E10+","0.42","2010","59","11","7","4"
"Naruto: Path of the Ninja 2","DS","Role-Playing","Takara Tomy","TOSE","E10+","0.23","2006","62","18","7.5","6"
"pro evolution soccer 2011","PSP","Sports","Konami Digital Entertainmen","Konami","E","0.79","2010","74","10","5.8","5"
"Pursuit Force: Extreme Justice","PSP","Action","Sony Computer Entertainment","Bigbig Studios","T","0.17","2007","73","44","7.6","11"
"PaRappa The Rapper 2","PS2","Misc","Sony Computer Entertainment","NanaOn-Sha","E","0.14","2001","67","26","6.6","26"
"Samurai Warriors 3","Wii","Action","Nintendo","Omega Force","T","0.44","2009","55","26","7.2","22"
"Supreme Commander 2","PC","Strategy","Square Enix","Gas Powered Games","E10+","0.19","2010","77","54","6.2","803"
"Mario Strikers Charged","Wii","Sports","Nintendo","Next Level Games","E10+","2.58","2007","79","47","8","124"
"FlatOut","XB","Racing","Empire Interactive","Bugbear","T","0.17","2004","71","39","8.2","21"
"Tom Clancy's Rainbow Six 3: Black Arr","XB","Shooter","Ubisoft","Ubisoft Montreal","M","1.13","2004","84","55","8.6","14"
"Quantum Theory","X360","Shooter","Tecmo Koei","Tecmo","M","0.09","2010","37","39","3.6","31"
"2002 FIFA World Cup","PS2","Sports","Electronic Arts","EA Sports","E","0.59","2002","73","19","5.6","18"
"Virtua Tennis 2009","X360","Sports","Sega","Sumo Digital","E","0.33","2009","70","43","6.2","15"
"Tomb Raider: Legend","XB","Action","Eidos Interactive","Crystal Dynamics","T","0.13","2006","82","40","7.2","13"
"Star Wars The Clone Wars: Republic He","X360","Action","LucasArts","Krome Studios","T","0.39","2009","43","37","6.3","19"
"Lemmings","PSP","Puzzle","Sony Computer Entertainment","Team 17","E","0.86","2006","76","46","7.9","14"
"Spyro: Season of Ice","GBA","Platform","Vivendi Games","Digital Eclipse","E","2.23","2001","74","16","8","13"
"Dragon Ball Z: Budokai 2","GC","Fighting","Atari","Pyramid","T","0.27","2004","66","9","5.8","12"
"Tomb Raider: Legend","GC","Action","Eidos Interactive","Crystal Dynamics","T","0.08","2006","78","6","7.8","8"
"Blood Drive","PS3","Racing","Activision","Sidhe Interactive","M","0.07","2010","47","11","7","5"
"Madden NFL 07","GC","Sports","Electronic Arts","EA Tiburon","E","0.62","2006","82","14","9.2","5"
"Left 4 Dead 2","PC","Shooter","Valve Software","Valve Software","M","0.36","2009","89","55","8.5","2530"
"Super Monkey Ball Adventure","PSP","Platform","Sega","TT Games","E","0.08","2006","56","23","5.9","7"
"Rabbids Go Home","Wii","Platform","Ubisoft","Ubisoft Montpellier","E10+","1.12","2009","78","50","8.3","32"
"Boom Blox","Wii","Puzzle","Electronic Arts","EA LA","E","1.21","2008","85","61","8.6","105"
"Duke Nukem Forever","PS3","Shooter","Take-Two Interactive","Gearbox Software, 3D","M","0.76","2011","51","48","4.9","278"
"Rise of Nations: Rise of Legends","PC","Strategy","Microsoft Game Studios","Big Huge Games","T","0.03","2006","84","46","8.5","108"
"Assassin's Creed: Brotherhood","X360","Action","Ubisoft","Ubisoft Montreal","M","3.49","2010","89","81","8.3","693"
"Digimon World 4","GC","Role-Playing","Namco Bandai Games","Bandai","E","0.09","2005","55","4","8.1","19"
"GRID","X360","Racing","Codemasters","Codemasters","E","0.87","2008","87","62","7.9","131"
"LEGO Star Wars III: The Clone Wars","X360","Action","LucasArts","Traveller's Tales","E10+","1.48","2011","75","43","7.8","42"
"Powerdrome","XB","Racing","Evolved Games","Argonaut Games","T","0.01","2004","69","12","7","9"
"ESPN NFL 2K5","PS2","Sports","Sega","Visual Concepts","E","2.62","2004","90","37","8.2","84"
"Muppets Party Cruise","PS2","Misc","TDK Mediactive","Mass Media","E","0.06","2003","61","11","8","6"
"Tim Burton's The Nightmare Before Chr","PS2","Adventure","Disney Interactive Studios","Capcom","E10+","0.34","2004","65","34","8.6","20"
"Knights Contract","X360","Action","Namco Bandai Games","Game Republic","M","0.08","2011","49","41","5.6","16"
"MotoGP '06","X360","Racing","THQ","Climax Group, Climax","E","0.14","2006","80","50","7.7","13"
